Name,Store Number,Convenience,Shopping,Specialty,Unsought,Other
CINNAMINSON TWP,34005,51861,1047,14469,36345,83333
DELANCO TWP,34005,9772,337,3145,6290,9331
DELRAN TWP,34005,52509,1758,17910,32841,51028
EASTAMPTON TWP,34005,11540,415,5811,5314,11070
EDGEWATER PARK TWP,34005,21525,979,8217,12329,18586
EVESHAM TWP,34005,89038,2208,23058,63772,86116
FLORENCE TWP,34005,32946,1257,12202,19487,30987
HAINESPORT TWP,34005,11178,300,2548,8330,10430
LUMBERTON TWP,34005,27807,871,11351,15585,26104
MANSFIELD TWP,34005,13286,211,1772,11303,12139
MAPLE SHADE TWP,34005,41231,1976,12738,26517,39693
MEDFORD TWP,34005,58514,997,10029,47488,52216
MEDFORD LAKES BOROUGH,34005,8476,141,1980,6355,7836
MOORESTOWN TWP,34005,82520,1568,11972,68980,95124
MOUNT HOLLY TWP,34005,22365,1759,12342,8264,30646
MT LAUREL TWP,34005,79557,1980,12721,64856,74408
NEW HANOVER TWP,34005,5645,962,2975,1708,6644
NORTH HANOVER TWP,34005,28936,11893,13924,3119,24690
PALYMRA BORO,34005,18785,853,6599,11333,17473
PEMBERTON TWP,34005,124655,5195,102368,17092,119473
RANCOCAS VALLEY REG HIGH SCHOOL DIST,34005,39650,899,19792,18959,38650
RIVERSIDE TWP SCHOOL DIST,34005,25349,1425,13857,10067,24800
RIVERTON BORO,34005,6179,134,1077,4968,5918
SHAMONG TWP,34005,15885,327,5703,9855,15907
SOUTHAMPTON TWP,34005,18920,448,3660,14812,19732
SPRINGFIELD TWP,34005,5505,157,1738,3610,6413
TABERNACLE TWP,34005,15755,345,7173,8237,14869
WASHINGTON TWP,34005,2241,53,757,1431,2270
WESTAMPTON TWP,34005,15917,589,5193,10135,14597
WILLINGBORO TWP,34005,83426,3711,46975,32740,87357
WOODLAND TWP,34005,3123,96,1139,1888,3089
BURLINGTON CITY,34005,41067,2247,23520,15300,40360
LENAPE REGIONAL,34005,167562,2116,44311,121135,161262
NORTH BURLINGTON COUNTY REGIONAL HIGH,34005,43771,2826,16726,24219,41675
BORDENTOWN REGIONAL SCHOOL DIST,34005,47977,1413,12788,33776,44397
BURLINGTON TWP,34005,72501,1997,26459,44045,69971
AUDUBON BORO,34007,27446,854,11010,15582,26413
BARRINGTON BORO,34007,15262,517,4442,10303,14444
BELLMAWR BORO,34007,19107,1563,7695,9849,21188
BERLIN BOROUGH BOARD OF EDUCATN,34007,13763,425,5292,8046,13150
BERLIN TWP,34007,16976,604,7068,9304,16533
BLACK HORSE PIKE REG,34007,83080,2168,44919,35993,77043
BROOKLAWN BORO,34007,6892,399,5126,1367,6693
CLEMENTON BORO,34007,13016,585,7361,5070,11929
COLLINGSWOOD BORO SCHOOL DIST,34007,37590,1394,14293,21903,37093
GIBBSBORO,34007,5262,136,1859,3267,5050
GLOUCESTER TWP,34007,120536,4634,64898,51004,115142
HADDON TWP,34007,39352,1041,12300,26011,46412
HADDONFIELD BOROUGH SCHOOL DIST,34007,42397,809,5414,36174,41877
HADDON HEIGHTS BORO,34007,23716,571,4303,18842,22695
LAUREL SPGS BORO,34007,5659,161,2318,3180,5385
LAWNSIDE BORO,34007,9294,420,4406,4468,9102
LINDENWOLD BORO,34007,49107,4635,30641,13831,50595
MAGNOLIA BORO,34007,10707,380,6469,3858,13175
MERCHANTVILLE BORO,34007,10121,343,3235,6543,10033
MT EPHRAIM BORO,34007,11188,360,4616,6212,11106
OAKLYN BORO,34007,8520,358,3205,4957,8004
PENNSAUKEN TWP,34007,108213,6697,60036,41480,102400
PINE HILL BORO,34007,41299,1828,22279,17192,37406
RUNNEMEDE BORO,34007,16002,709,8058,7235,16367
SOMERDALE BORO,34007,8950,431,4049,4470,8575
STRATFORD BORO,34007,15801,639,6492,8670,15750
VOORHEES TWP,34007,59961,1419,11912,46630,56188
WINSLOW TWP,34007,115140,5299,56388,53453,108000
WOODLYNNE BORO,34007,12226,789,9126,2311,11499
CAMDEN CITY,34007,378633,28409,337218,13006,350388
CAMDEN COUNTY EDUCATIONAL SERVICES COMMISSION,34007,39945,239,135,39571,39535
STERLING HIGH,34007,58363,525,10553,47285,55821
CHERRY HILL TOWNSHIP SCHOOL DIST,34007,211099,5803,36611,168685,206820
EASTERN CAMDEN CNTY REGIONAL SCHOOL DIST,34007,39857,709,12760,26388,38108
GLOUCESTER CITY,34007,48569,2982,39180,6407,47697
AVALON BORO,34009,5212,33,412,4767,4960
DENNIS TWP,34009,17460,470,7437,9553,16067
LOWER TWP,34009,32339,1949,13315,17075,31676
MIDDLE TWP,34009,50441,2208,18570,29663,49029
STONE HARBOR,34009,3384,28,289,3067,3374
UPPER TWP,34009,39518,868,12649,26001,40099
WEST CAPE MAY BORO SCHOOL DIST,34009,1814,53,680,1081,2349
WILDWOOD CREST BORO,34009,8526,238,1377,6911,7889
WOODBINE BORO,34009,6466,429,4120,1917,6056
LOWER CAPE MAY REG SCHOOL DIST,34009,35670,1351,12741,21578,32322
CAPE MAY CITY SCHOOL DIST,34009,4323,1473,1020,1830,3881
OCEAN CITY SCHOOL DIST,34009,48759,1211,8516,39032,46890
WILDWOOD CITY,34009,22708,2379,7638,12691,21961
NORTH WILDWOOD CITY SCHOOL DIST,34009,9616,410,1767,7439,9312
COMMERCIAL TWP,34011,15010,1247,11578,2185,14489
DEERFIELD TWP,34011,6272,391,3123,2758,6126
DOWNE TWP,34011,4295,216,2680,1399,4233
FAIRFIELD TWP,34011,11095,1036,8546,1513,10571
GREENWICH TWP,34011,1513,98,552,863,1473
HOPEWELL TWP,34011,8981,450,4414,4117,8263
LAWRENCE TWP,34011,10457,637,7298,2522,10049
MAURICE RIVER TWP,34011,9062,415,5703,2944,8929
STOW CREEK TWP,34011,2338,96,1052,1190,2197
UPPER DEERFIELD TWP,34011,17197,1587,7966,7644,16566
MILLVILLE CITY,34011,115308,7215,87229,20864,114284
VINELAND,34011,218116,12474,174500,31142,217743
BRIDGETON CITY,34011,117978,11097,100909,5972,142409
CUMBERLAND REG,34011,24887,949,14437,9501,23284
BELLEVILLE TOWN,34013,79269,4513,33712,41044,76520
CALDWELL-W CALDWELL,34013,50436,1185,6427,42824,59271
CEDAR GROVE TWP,34013,31948,539,3974,27435,33299
ESSEX FELLS BORO,34013,5140,71,689,4380,5119
GLEN RIDGE BORO,34013,34508,394,4254,29860,33667
LIVINGSTON TWP,34013,130463,1644,17860,110959,122448
MILLBURN TWP,34013,103841,1315,13376,89150,96987
NORTH CALDWELL BORO,34013,14416,204,1635,12577,13224
NUTLEY TOWN,34013,74317,1687,15377,57253,69979
ROSELAND BORO,34013,9703,161,1170,8372,9219
SOUTH ORANGE-MAPLEWOOD SCHOOL DIST,34013,137352,3185,19269,114898,137340
VERONA BORO,34013,40487,602,5908,33977,46411
WEST ORANGE TOWN,34013,177272,5085,25249,146938,165466
ESSEX CO ED SERV COMM,34013,105075,1373,1883,101819,101057
WEST ESSEX REG,34013,42499,376,5092,37031,39475
BLOOMFIELD TOWN,34013,111268,4227,31108,75933,104065
CLAYTON BORO,34015,25177,2091,12785,10301,28974
DEPTFORD TWP,34015,75742,3107,31529,41106,76740
EAST GREENWICH TWP,34015,19469,382,5062,14025,18580
ELK TWP,34015,6576,335,3240,3001,5876
FRANKLIN TWP,34015,24612,1155,10912,12545,22685
GLASSBORO BORO,34015,45000,2372,21267,21361,46336
HARRISON TWP,34015,21996,560,8478,12958,20923
LOGAN TWP,34015,20137,431,7197,12509,19848
MANTUA TWP,34015,23867,716,8813,14338,22374
MONROE TWP,34015,101659,3940,44910,52809,97404
NATIONAL PARK BORO SCHOOL DIST,34015,5084,189,2769,2126,4673
PAULSBORO BORO,34015,25034,2581,14637,7816,26109
PITMAN BORO,34015,28677,778,13202,14697,28014
SOUTH HARRISON TWP,34015,6176,114,2251,3811,5844
SWEDESBORO-WOOLWICH,34015,29515,684,9827,19004,26971
WENONAH BORO,34015,3673,69,841,2763,3408
WEST DEPTFORD,34015,51116,1282,17351,32483,60906
WESTVILLE BORO,34015,6546,254,3240,3052,6448
WOODBURY HEIGHTS BORO,34015,4480,141,1702,2637,4348
EDUCATIONAL INFORMATION AND RESOURCES CENTER (EIRC),34015,58,0,58,0,0
CLEARVIEW REG HIGH SCHOOL DIST,34015,43636,707,19627,23302,40531
DELSEA REGIONAL HIGH,34015,37269,1228,17068,18973,47177
WOODBURY CITY,34015,32172,2231,15805,14136,31790
GATEWAY REGIONAL SCHOOL DIST,34015,24220,906,9598,13716,23071
KINGSWAY REGIONAL HIGH SCHOOL DIST,34015,40778,871,12686,27221,39650
EAST NEWARK BORO,34017,5721,508,3735,1478,6094
GUTTENBERG TOWN,34017,19349,1508,6643,11198,23770
HOBOKEN CITY,34017,73062,3353,27422,42287,70767
SECAUCAS TOWN,34017,43603,1302,5755,36546,57210
NORTH BERGEN TWP,34017,135158,8819,73836,52503,130762
WEEHAWKEN TWP,34017,27217,1187,5892,20138,26909
KEARNY TOWN SCHOOL DIST,34017,102458,4752,42367,55339,98944
ALEXANDRIA TWP,34019,11849,225,3032,8592,10836
BETHLEHEM TWP,34019,10274,171,2502,7601,9991
BLOOMSBURY BORO,34019,3321,86,1568,1667,3487
CALIFON BORO,34019,2889,49,580,2260,2770
CLINTON TOWN,34019,9610,216,2307,7087,9791
CLINTON TWP,34019,32714,529,5687,26498,30924
DELAWARE TWP,34019,10432,170,2160,8102,9839
EAST AMWELL TWP,34019,9497,218,1874,7405,9539
FLEMINGTON-RARITAN REG,34019,68007,1370,12938,53699,63707
FRENCHTOWN BORO,34019,3196,98,1027,2071,4351
HAMPTON BORO,34019,3491,123,1419,1949,3295
HIGH BRIDGE BORO,34019,8818,178,2545,6095,8219
HOLLAND TWP,34019,12317,268,3078,8971,11605
HUNTERDON CENTRAL HIGH,34019,70865,962,11535,58368,65695
KINGWOOD TWP,34019,8036,172,2073,5791,8220
LEBANON BOROUGH,34019,2852,50,400,2402,2851
LEBANON TWP,34019,14283,231,3893,10159,13895
MILFORD BORO,34019,2506,56,520,1930,2588
NORTH HUNTERDON-VORHEES REG,34019,63634,776,13567,49291,60121
READINGTON TWP,34019,35004,537,5109,29358,33139
TEWKSBURY TWP,34019,14851,171,2283,12397,15055
UNION TWP,34019,10973,285,1533,9155,10855
HUNTERDON CO EDUC SERV COMM,34019,17492,389,574,16529,18058
DELAWARE VALLEY REG HIGH SCHOOL DIST,34019,25020,250,5818,18952,25686
EAST WINDSOR REGIONAL,34021,99921,3212,29713,66996,97740
EWING TWP,34021,81251,2600,17410,61241,73781
HOPEWELL VALLEY REG,34021,89448,1191,11791,76466,84162
PRINCETON REG,34021,96155,1738,14210,80207,90659
ROBBINSVILLE,34021,49517,834,7195,41488,46034
WEST WINDSOR-PLAINSBORO REG,34021,188762,2943,26778,159041,177545
CARTERET BORO,34023,66128,3777,35076,27275,64328
CRANBURY TWP,34023,19800,208,2220,17372,18476
DUNELLEN BORO,34023,19246,914,7275,11057,19345
EAST BRUNSWICK TWP,34023,172808,4120,34339,134349,173045
HIGHLAND PARK BORO SCHOOL DIST,34023,35570,1161,7360,27049,33991
JAMESBURG BORO,34023,15398,646,6535,8217,14544
OLD BRIDGE TWP PUBLIC SCHS.,34023,163955,4725,62827,96403,160996
METUCHEN BORO,34023,56464,1022,5468,49974,40172
MIDDLESEX BORO,34023,38380,1301,13043,24036,45750
MILLTOWN BORO,34023,17620,457,2249,14914,16729
NORTH BRUNSWICK TWP,34023,108956,4415,22192,82349,105069
PISCATAWAY TWP,34023,140328,4458,32149,103721,130247
SAYREVILLE BORO,34023,97175,3666,30997,62512,94597
SOUTH BRUNSWICK TWP,34023,156521,3794,38977,113750,150169
SOUTH PLAINFIELD BORO SCHOOL DIST,34023,65810,2216,16128,47466,65574
SOUTH RIVER BORO,34023,36045,2078,16761,17206,36229
SPOTSWOOD BORO,34023,32729,789,10442,21498,33008
WOODBRIDGE TWP,34023,238878,8929,51332,178617,232594
MIDDLESEX CO ED SERV COMM,34023,98465,2741,10350,85374,95052
PERTH AMBOY,34023,243676,14155,202224,27297,239105
SOUTH AMBOY CITY SCHOOL DIST,34023,19764,1078,8827,9859,26651
COLTS NECK TWP,34025,27958,1010,3861,23087,26300
ATLANTIC HIGHLANDS SCHOOL DIST,34025,5914,145,943,4826,5817
AVON BORO,34025,4447,59,577,3811,4166
BELMAR BORO,34025,13808,851,2632,10325,13277
BRADLEY BEACH BORO,34025,8167,480,1755,5932,7921
BRIELLE BORO,34025,14973,198,1537,13238,13696
DEAL BORO,34025,4532,76,2439,2017,4350
EATONTOWNBORO,34025,23420,1205,6944,15271,21760
FAIR HAVEN BORO,34025,17017,240,2563,14214,15439
FARMINGDALE BORO,34025,2930,98,1108,1724,2895
FREEHOLD BORO,34025,27787,3914,12425,11448,26478
FREEHOLD TWP,34025,81491,1575,12015,67901,80329
FREEHOLD REGIONAL HIGH,34025,213222,3791,73841,135590,225151
HIGHLANDS BORO,34025,4805,265,1225,3315,4646
HOLMDEL TWP,34025,67764,852,9974,56938,63752
HOWELL TWP,34025,127922,3108,47220,77594,120568
KEANSBURG BORO,34025,43241,2741,34661,5839,43926
KEYPORT BORO,34025,21457,1074,8225,12158,20801
LITTLE SILVER BOROUGH,34025,15347,241,1917,13189,14313
MANALAPAN-ENGLISHTOWN REG,34025,93247,2118,28888,62241,88752
MANASQUAN BORO,34025,27609,498,3739,23372,27728
MARLBORO TWP,34025,98354,1698,22234,74422,92088
MATAWAN-ABERDEEN REG,34025,74091,2149,19912,52030,75707
MIDDLETOWN TWP,34025,184860,4208,40336,140316,179604
MILLSTONE TWP,34025,39949,491,7561,31897,38324
MONMOUTH BEACH BORO,34025,5144,105,668,4371,5431
NEPTUNE CITY BORO SCHOOL DIST,34025,10001,408,2910,6683,9258
NEPTUNE TWP BOARD OF EDUC,34025,94899,4453,46761,43685,91266
OCEAN TWP SCHOOL DIST,34025,82673,2312,16804,63557,89775
OCEANPORT BORO,34025,11747,317,1590,9840,11261
HAZLET TWP,34025,58446,1333,18686,38427,56224
RED BANK BORO,34025,27095,2141,8679,16275,25245
ROOSEVELT BORO,34025,2896,58,1164,1674,2600
RUMSON BORO,34025,18436,361,2413,15662,17384
RUMSON FAIR HAVEN REG HIGH SCHOOL DIST,34025,21245,221,2420,18604,20148
SEA GIRT,34025,5117,66,472,4579,4676
SHREWSBURY BORO,34025,9215,149,1133,7933,8530
TINTON FALLS,34025,31612,893,6755,23964,29074
SPRING LAKE BORO,34025,7580,0,1062,6518,7359
SPRING LAKE HGHT BORO,34025,9517,167,906,8444,8622
UNION BEACH BORO,34025,16299,698,9553,6048,15775
UPPER FREEHOLD REG SCHOOL DIST,34025,45226,636,9920,34670,42946
WALL TWP,34025,80146,1584,12732,65830,75233
WEST LONG BRANCH,34025,12014,361,1615,10038,12439
MONMOUTH-OCEAN EDUC SERV COMM,34025,47848,20,735,47093,49375
MONMOUTH REG HIGH SCHOOL DIST,34025,28040,469,5891,21680,30536
HENRY HUDSON REGIONAL,34025,10094,257,1768,8069,8812
SHORE REGIONAL HIGH,34025,17288,276,2321,14691,17694
ASBURY PARK,34025,87531,5392,74067,8072,86674
LONG BRANCH CITY,34025,115664,7799,67746,40119,118250
RED BANK REGIONAL HIGH,34025,30553,686,4225,25642,31123
BOONTON TOWN,34027,31264,988,4443,25833,30882
BOONTON TWP,34027,14473,135,1626,12712,14178
BUTLER BORO,34027,26406,630,4563,21213,24879
CHESTER TWP,34027,25858,476,3462,21920,24371
DENVILLE TWP,34027,33734,537,4450,28747,31194
DOVER TOWN,34027,50961,4192,30085,16684,50519
EAST HANOVER TWP,34027,23841,312,2907,20622,22017
FLORHAM PARK BORO,34027,20498,281,2326,17891,19854
HANOVER PARK HIGH SCHOOL DIST,34027,38330,334,4621,33375,41278
HANOVER TWP,34027,30286,365,3859,26062,29448
HARDING TWP,34027,11600,110,1159,10331,11201
JEFFERSON TWP,34027,66814,1256,22184,43374,64374
KINNELON BORO,34027,43403,557,6140,36706,41461
LINCOLN PARK BORO SCHOOL DIST,34027,23105,504,3218,19383,22439
MADISON BORO,34027,60131,863,6526,52742,48743
MENDHAM BORO,34027,12497,179,1546,10772,11681
MENDHAM TWP,34027,19674,219,2164,17291,18253
MINE HILL TWP,34027,10594,259,3494,6841,10183
MONTVILLE TWP,34027,83206,1033,12468,69705,83892
MORRIS HILLS REGIONAL DIST,34027,81758,1021,17592,63145,73365
MORRIS PLAINS,34027,17740,207,1977,15556,16938
MORRIS,34027,118206,3708,18935,95563,120839
MOUNT ARLINGTON BORO,34027,11827,204,1510,10113,11169
MT OLIVE TWP,34027,95631,1803,24603,69225,92992
MOUNTAIN LAKES BORO,34027,40154,304,5380,34470,39941
NETCONG BORO,34027,5708,245,1867,3596,5323
PARSIPPANY TROY HILLS SCHOOL DIST,34027,159645,3389,20570,135686,162148
LONG HILL TWP SCHOOL DIST,34027,18355,257,2448,15650,19093
PEQUANNOCK TWP,34027,44109,664,6923,36522,40179
RANDOLPH TWP,34027,100891,1534,23165,76192,95404
RIVERDALE BORO,34027,8413,136,876,7401,8609
ROCKAWAY BORO,34027,9622,237,1467,7918,9599
ROCKAWAY TWP,34027,54168,1433,8205,44530,54998
ROXBURY TWP,34027,83010,1385,21576,60049,78658
WHARTON BORO,34027,15787,854,5773,9160,15196
MORRIS CO EDUC SERV COMM,34027,26947,514,3125,23308,26700
CHATHAMS,34027,79759,1045,9668,69046,77167
WEST MORRIS HIGH,34027,56035,582,10175,45278,54332
BAY HEAD BORO,34029,4503,69,399,4035,6319
BEACH HAVEN BORO,34029,2302,30,364,1908,2124
BERKELEY TWP,34029,37046,1854,5652,29540,36157
BRICK TWP,34029,167533,6030,54684,106819,163616
CENTRAL REG HIGH SCHOOL DIST,34029,41298,1425,7406,32467,39654
EAGLESWOOD TWP,34029,3158,95,1044,2019,3255
ISLAND HEIGHTS BORO,34029,2518,68,507,1943,2247
JACKSON TWP,34029,168850,4248,69128,95474,165324
LACEY TWP,34029,79543,2312,29284,47947,76529
LAKEHURST BORO,34029,9473,1165,6837,1471,9875
LAKEWOOD TWP,34029,183520,27659,59045,96816,199369
LAVALLETTE BORO,34029,4435,96,562,3777,4397
LITTLE EGG HARBOR TWP,34029,34550,1464,17896,15190,31666
LONG BEACH ISLAND,34029,6838,151,1424,5263,7902
MANCHESTER TWP,34029,61380,1982,11452,47946,68680
OCEAN TWP,34029,20101,521,8421,11159,19136
OCEAN GATE BORO,34029,3300,148,1454,1698,3546
PLUMSTED TWP,34029,30084,1815,15269,13000,28125
POINT PLEASANT BOROUGH,34029,47982,1144,11136,35702,47756
PT PLEASANT BEACH BORO,34029,20180,448,2234,17498,17595
SEASIDE HGHTS BORO SCHOOL DIST,34029,4934,523,1498,2913,4770
STAFFORD TWP,34029,45327,1355,13930,30042,42992
TOMS RIVER REGIONAL,34029,261438,16598,92836,152004,255684
TUCKERTON BORO,34029,5900,170,2768,2962,5562
BARNEGAT TWP,34029,59924,2090,25598,32236,55511
SOUTH REGIONAL HIGH,34029,66951,1259,10815,54877,58375
PINELANDS REG,34029,43102,1084,16033,25985,36462
BLOOMINGDALE BORO SCHOOL DIST,34031,20225,454,3437,16334,19104
HALEDON BORO,34031,17065,1422,9080,6563,17793
HAWTHORNE BORO,34031,45429,1585,6635,37209,43624
LITTLE FALLS TWP,34031,21251,515,3332,17404,17183
NORTH HALEDON BOROUGH,34031,12667,362,1725,10580,11670
PASSAIC VALLEY REGIONAL HIGH SCHOOL DISTRICT 1,34031,30129,720,3862,25547,29240
POMPTON LAKES BORO SCHOOL DIST,34031,36171,875,8010,27286,35590
PROSPECT PARK BORO SCHOOL DIST,34031,14099,1433,9714,2952,14419
RINGWOOD BORO,34031,26250,583,5684,19983,26648
TOTOWA BORO,34031,18437,668,2456,15313,17342
WANAQUE BORO,34031,19984,605,4952,14427,18944
WAYNE TWP,34031,173956,3111,22895,147950,175182
WEST MILFORD TWP,34031,81301,1884,23015,56402,81376
WOODLAND PARK,34031,19260,957,2645,15658,19005
CLIFTON CITY,34031,189389,12674,44958,131757,187831
PASSAIC COUNTY EDUCATION SERVICES COMMISSION,34031,18261,0,432,17829,18214
LAKELAND HIGH,34031,26163,464,7331,18368,26852
PASSAIC CNTY-MANCHESTER REG SCHOOL DIST,34031,20817,961,8583,11273,21258
PASSAIC CITY,34031,336711,26893,284356,25462,338286
ALLOWAY TWP,34033,8934,291,4493,4150,9101
ELSINBORO TWP,34033,2870,131,1254,1485,2521
LOWER ALLOWAY CREEK TWP SCHOOL DIST,34033,4887,152,1267,3468,4668
PENNSVILLE SCHOOL DIST,34033,34284,1107,12703,20474,36264
MANNINGTON TWP,34033,6130,189,948,4993,5544
OLDMANS TWP,34033,5655,229,2499,2927,5313
PENNS GROVE CARNEYS POINT REG,34033,43692,3375,26764,13553,47161
WOODSTOWN-PILESGROVE REGIONAL SCHOOL DIST,34033,27336,850,9756,16730,31187
PITTSGROVE TWP,34033,33305,1308,16905,15092,30919
QUINTON TWP,34033,7242,390,4131,2721,7014
UPPER PITTSGROVE TWP,34033,8800,292,4104,4404,8574
BEDMINSTER TWP,34035,18908,235,1924,16749,18251
BERNARDS TWP,34035,110327,1429,16622,92276,106269
SOMERSET HILLS,34035,44350,754,5376,38220,43142
BOUND BROOK BORO,34035,31302,3080,12407,15815,38709
BRANCHBURG TWP,34035,48148,578,5576,41994,45821
BRIDGEWATER-RARITAN REG SCH DT,34035,167417,3176,26961,137280,159798
GREEN BROOK,34035,25370,318,2730,22322,24872
HILLSBOROUGH,34035,136166,2589,40118,93459,132774
MANVILLE BORO,34035,23896,1236,7498,15162,24265
MONTGOMERY TWP,34035,94130,1214,13342,79574,89757
NORTH PLAINFIELD BORO SCHOOL DIST,34035,66495,3129,31760,31606,66497
SOMERVILLE BORO,34035,46642,1482,10952,34208,45033
SOUTH BOUND BROOK BORO SCHOOL DIST,34035,11267,410,4231,6626,10666
WARREN TWP,34035,46831,567,6271,39993,45361
WATCHUNG BORO,34035,14599,197,1721,12681,12763
WATCHUNG HILLS REGIONAL HIGH,34035,47176,511,5937,40728,47284
SOMERSET CO EDUC SERV,34035,21434,75,662,20697,20626
ANDOVER REG,34037,17706,283,3872,13551,17120
BYRAM TWP,34037,17829,304,5534,11991,16726
FRANKFORD TWP,34037,12354,285,3266,8803,12262
FRANKLIN BORO,34037,9958,480,4299,5179,9556
FREDON TWP,34037,5938,65,1042,4831,4977
GREEN TWP,34037,13288,224,3459,9605,12757
HAMBURG BOROUGH,34037,6669,181,2206,4282,5955
HAMPTON TWP,34037,7476,187,2022,5267,7207
HARDYSTON TWP,34037,14051,299,3439,10313,13170
LAFAYETTE TWP,34037,5910,153,1367,4390,5558
MONTAGUE TWP,34037,9938,558,3408,5972,9893
NEWTON TOWN,34037,31338,1003,9066,21269,30252
OGDENSBURG BORO,34037,5433,165,2832,2436,5224
SANDYSTON-WALPACK SCHOOL DIST,34037,3223,441,753,2029,3390
SPARTA TWP,34037,74101,1153,13828,59120,70357
STANHOPE BORO,34037,6629,151,2063,4415,6715
STILLWATER TWP,34037,7078,190,2556,4332,6898
VERNON TWP,34037,77304,1601,33802,41901,75304
SUSSEX WANTAGE REGIONAL SCHOOL DIST,34037,27405,814,10454,16137,27283
SUSSEX CO EDUC SERV COMM,34037,4655,20,313,4322,4284
HIGH PT REGIONAL DIST,34037,27589,437,8953,18199,27708
HOPATCONG SCHOOL DIST,34037,69356,1250,15352,52754,69424
KITTATINNY REGIONAL,34037,23753,735,8498,14520,23588
LENAPE VALLEY REGIONAL HIGH,34037,16898,261,6310,10327,17048
WALLKILL VALLEY REGIONAL HIGH,34037,16654,306,6296,10052,16417
BERKELEY HEIGHTS,34039,56303,704,7946,47653,54248
CLARK TWP SCHOOL DIST,34039,39887,816,5751,33320,39856
CRANFORD TWP,34039,68103,1070,9667,57366,67097
GARWOOD BORO,34039,9392,197,1050,8145,8831
HILLSIDE TWP,34039,68042,3110,28588,36344,59407
KENILWORTH BORO,34039,28359,674,7706,19979,27987
MOUNTAINSIDE BORO SCHOOL DIST,34039,19132,304,2397,16431,22220
NEW PROVIDENCE BORO,34039,41752,671,5509,35572,39988
ROSELLE BORO,34039,57426,3064,29842,24520,57918
ROSELLE PARK BORO,34039,38378,1458,14355,22565,37245
SCOTCH PLAINS FANWOOD REG SCHOOL DIST,34039,101733,1882,13197,86654,100008
TOWNSHIP OF UNION PUBLIC SCHOOLS,34039,139740,4516,45716,89508,139148
WESTFIELD TOWN,34039,115668,1768,15885,98015,110355
WINFIELD TWP,34039,3653,81,1962,1610,3632
UNION CO EDUC SERV COMM,34039,51388,184,2319,48885,49761
ELIZABETH CITY,34039,566722,37005,462415,67302,542135
PLAINFIELD,34039,196642,11681,157794,27167,199665
RAHWAY SCHOOL DIST,34039,75957,3216,29112,43629,74641
LINDEN CITY SCHOOL DIST,34039,130599,5852,36160,88587,128484
ALLAMUCHY TWP,34041,11072,191,1244,9637,10122
ALPHA BORO,34041,5660,192,2320,3148,5649
BELVIDERE TOWN,34041,13517,289,4178,9050,13382
BLAIRSTOWN TWP,34041,10026,355,2942,6729,9811
FRELINGHUYSEN,34041,2983,76,901,2006,2970
HACKETTSTOWN,34041,34141,972,8539,24630,33090
HARMONY TWP,34041,7466,214,868,6384,6952
HOPE TWP,34041,5463,117,1312,4034,5095
KNOWLTON TWP,34041,4884,162,1888,2834,4519
LOPATCONG TWP,34041,19288,355,5132,13801,19277
OXFORD TWP,34041,7511,194,3200,4117,7077
POHATCONG TWP,34041,9325,215,2604,6506,8688
WASHINGTON BORO,34041,8996,427,3703,4866,8459
WHITE TWP,34041,10070,218,2566,7286,9757
GREAT MEADOWS REGIONAL,34041,21915,378,7558,13979,24189
NORTH WARREN REG,34041,19003,388,6971,11644,18305
PHILLIPSBURG TOWN SCHOOL DIST,34041,84336,4328,51825,28183,78290
WARREN HILLS REGIONAL SCHOOL DIST,34041,40662,799,14290,25573,38300
ALBUQUERQUE,35001,1021201,102693,729311,189197,1037039
RESERVE IND,35003,2823,890,1525,408,4646
QUEMADO IND,35003,2825,745,1619,461,3161
DEXTER,35005,12332,1221,9571,1540,12025
HAGERMAN,35005,6060,709,4975,376,6075
LAKE ARTHUR,35005,3067,104,2178,785,2767
ROSWELL INDEPENDENT SCHOOLS,35005,106819,14947,82452,9420,99425
CIMARRON,35007,8459,546,5553,2360,9782
MAXWELL,35007,2642,223,2058,361,2525
RATON,35007,11806,1105,9692,1009,11701
SPRINGER,35007,3355,287,2509,559,3095
CLOVIS,35009,76870,8743,61530,6597,75471
GRADY SCHOOL DISTRICT 61,35009,2504,119,2139,246,2502
MELROSE,35009,3559,217,2909,433,3633
TEXICO,35009,7202,502,5499,1201,6647
FT SUMNER,35011,5358,514,4056,788,4821
GADSDEN,35013,158771,24621,114252,19898,150644
HATCH,35013,14912,2635,11140,1137,15065
LAS CRUCES,35013,263191,32431,193108,37652,255859
ARTESIA,35015,48277,3180,29613,15484,46430
CARLSBAD,35015,94723,6068,56767,31888,107819
LOVING,35015,7744,743,5652,1349,8214
COBRE CONSOLIDATED,35017,17984,2093,13823,2068,16572
SILVER CONSOLIDATED,35017,32121,3356,24822,3943,30078
SANTA ROSA CONSOLIDATED,35019,8772,854,6671,1247,8244
VAUGHN,35019,2608,112,1826,670,3032
MOSQUERO,35021,2421,64,1444,913,2252
ROY,35021,1670,76,1435,159,1661
LORDSBURG,35023,8279,974,5617,1688,8923
ANIMAS,35023,3110,310,2643,157,3082
HOBBS,35025,94938,7569,69870,17499,97666
EUNICE PUBLIC,35025,13714,549,6488,6677,11266
JAL PUBLIC SCHOOL MUNICIPAL DISTRICT,35025,8195,382,4076,3737,9961
LOVINGTON,35025,40939,2129,31231,7579,53748
